"Parker O-Ring Chemical Compatibility Chart — Compatibility Tables for Gases, Fluids, Solids","","","","","","","","","","","","","","","","","","","","",""
"Source: Parker O-Ring & Engineered Seals Division, ORD 5700 O-Ring Handbook  |  2135 compounds  |  Ratings: 1=Satisfactory, 2=Fair, 3=Doubtful, 4=Unsatisfactory, X=Insufficient Data","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Compound / Fluid","Compound Code","NBR
(Nitrile)","HNBR
(Hydrog. Nitrile)","EPDM
(Ethylene Propylene)","FKM
(Fluorocarbon)","FKM
(Hifluor)","FFKM
(Perfluoroelastomer)","FEPM
(Aflas)","CR
(Neoprene)","SBR
(Styrene-Butadiene)","ACM
(Polyacrylate)","AU/EU
(Polyurethane)","IIR
(Butyl)","BR
(Butadiene)","IR
(Isoprene)","NR
(Natural Rubber)","CSM
(Hypalon)","FVMQ
(Fluorosilicone)","MQ/VMQ/PVMQ
(Silicone)","",""
"MIL-L-25681","V1164-75","2","2","1","1","1","1","X","2","2","2","3","1","2","2","2","2","2","4","",""
"MIL-L-3150","N0304-75","1","1","4","1","1","1","X","2","4","2","2","4","4","4","4","2","1","4","",""
"MIL-L-6081","N0304-75","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"MIL-L-6082","N0304-75","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","3","",""
"MIL-L-6085","V1164-75","2","2","4","1","1","1","X","4","4","2","3","4","4","4","4","4","2","4","",""
"MIL-L-6387","V1164-75","2","2","4","1","1","1","X","4","4","2","1","4","4","4","4","4","2","4","",""
"MIL-L-7808","V1164-75","2","2","4","1","1","1","X","4","4","2","4","4","4","4","4","4","2","4","",""
"MIL-L-7870","N0304-75","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","1","4","",""
"MIL-L-9000","N0304-75","1","1","4","1","1","1","X","2","4","1","3","4","4","4","4","2","2","4","",""
"MIL-L-9236","V1164-75","2","2","4","1","1","1","X","4","4","2","2","4","4","4","4","4","2","4","",""
"MIL-O-3503","N0304-75","1","1","4","1","1","1","X","2","4","2","1","4","4","4","4","2","1","4","",""
"MIL-P-27402","E1267-80","2","2","1","X","X","X","X","2","2","X","X","1","X","X","X","2","X","4","",""
"MIL-PRF-17672","N0304-70","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"MIL-PRF-2105","N0304-70","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"MIL-PRF-81322","N0304-70","1","1","4","1","1","1","1","2","4","1","1","4","4","4","4","X","1","3","",""
"MIL-PRF-87252","N0674-70","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"MIL-R-25576 (RP-1)","N0602-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"MIL-S-3136, Type I Fuel","N0602-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"MIL-S-3136, Type II Fuel","N0602-70","2","2","4","1","1","1","X","4","4","3","2","4","4","4","4","4","2","4","",""
"MIL-S-3136, Type III Fuel","N0602-70","2","2","4","1","1","1","X","4","4","3","2","4","4","4","4","4","2","4","",""
"MIL-S-3136, Type IV Oil High Swell","N0674-70","1","1","4","1","1","1","X","4","4","1","1","4","4","4","4","4","1","2","",""
"MIL-S-3136, Type IV Oil Low Swell","N0674-70","1","1","4","1","1","1","X","1","4","1","1","4","4","4","4","1","1","3","",""
"MIL-S-3136, Type V Oil Medium Swell","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"MIL-S-81087","E1267-80","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","2","3","",""
"MIL-T-5624, JP-4, JP-5","N0602-70","1","1","4","1","1","1","X","4","4","2","2","4","4","4","4","4","2","4","",""
"MIL-T-83133","N0602-70","1","1","4","1","1","1","X","3","4","1","1","4","X","X","4","X","2","4","",""
"Milk","N0508-75","1","1","1","1","1","1","X","1","1","4","4","1","1","1","1","1","1","1","",""
"Mineral Oils","N0674-70","1","1","3","1","1","1","X","2","4","1","1","3","4","4","4","2","1","2","",""
"Mixed Acids","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"MLO-7277 Hydr.","V1164-75","3","3","4","1","1","1","X","4","4","3","3","4","4","4","4","4","3","4","",""
"MLO-7557","V1164-75","3","3","4","1","1","1","X","4","4","3","3","4","4","4","4","4","3","4","",""
"MLO-8200 Hydr.","V1164-75","2","2","4","1","1","1","X","1","4","X","1","4","4","4","4","4","2","4","",""
"MLO-8515","V1164-75","2","2","4","1","1","1","X","1","4","3","1","4","4","4","4","3","1","4","",""
"Mobil 254 Lubricant","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Mobil Delvac 1100, 1110, 1120, 1130","N0674-70","1","1","4","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Mobil DTE 20 Series","N0674-70","1","1","4","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Mobil HF","N0674-70","1","1","4","1","1","1","X","2","X","X","X","X","X","X","X","X","X","X","",""
"Mobil Nivac 20, 30","N0674-70","1","1","1","1","1","1","1","1","X","X","X","X","X","X","X","X","X","X","",""
"Mobil SHC 500 Series","V1164-75","3","3","4","1","1","1","X","2","X","1","2","4","X","X","X","2","2","2","",""
"Mobil SHC 600 Series","V1164-75","3","3","4","1","1","1","X","2","4","1","1","4","X","X","X","2","2","3","",""
"Mobil Therm 600","N0674-70","1","1","4","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Mobil Velocite c","N0674-70","1","1","4","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Mobilgas WA200 ATF","N0674-70","1","1","4","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Mobilgear 600 Series","V1164-75","3","3","3","1","1","1","X","1","4","1","2","3","3","4","4","2","1","1","",""
"Mobilgear SHC ISO Series","V1164-75","3","3","3","1","1","1","X","2","4","1","2","3","3","4","4","2","1","1","",""
"Mobilgrease HP","V1164-75","2","2","4","1","1","1","X","2","4","1","1","4","X","4","4","3","1","2","",""
"Mobilgrease HTS","V1164-75","2","2","4","1","1","1","X","2","4","1","1","4","X","4","4","3","1","2","",""
"Mobilgrease SM","V1164-75","2","2","4","1","1","1","X","2","4","1","1","4","X","4","4","3","1","2","",""
"Mobilith AW Series","V1164-75","2","2","4","1","1","1","X","2","4","1","1","4","X","4","4","3","1","2","",""
"Mobilith SHC Series","V1164-75","2","2","4","1","1","1","X","3","4","1","1","4","X","4","4","3","1","2","",""
"Mobiljet 291","VM835-75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Mobiljet II Lubricant","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Mobilmistlube Series","V1164-75","3","3","3","1","1","1","X","1","4","1","2","3","3","4","4","2","1","1","",""
"Mobiloil SAE 20","N0674-70","1","1","4","1","1","1","1","2","4","1","1","4","4","4","4","X","1","X","",""
"Mobilux","N0674-70","1","1","4","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Molybdenum Disulfide Grease","N0674-70","1","X","4","1","1","1","1","4","X","X","X","X","X","X","X","X","X","X","",""
"Molybdenum Oxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Molybdenum Trioxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Molybdic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Monobromobenzene","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Monobromotoluene","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Monobutyl Paracresol","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Monochloroacetic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Monochlorobenzene","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Monochlorobutene","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Monochlorohydrin","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Monoethanolamine (MEA)","E0540-80","4","4","2","4","2","1","X","4","2","4","4","2","2","2","2","4","4","2","",""
"Monoethyl Amine","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Monoisopropylamine","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Monomethyl Aniline","E0540-80","4","X","1","2","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Monomethyl Ether (Dimethyl Ether)","V3819-75","X","X","X","X","2","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Monomethyl Ether (Methyl Ether)","N0674-70","1","X","4","1","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Monomethyl Hydrazine","E0540-80","2","2","1","X","1","1","X","2","2","X","X","1","X","X","X","2","X","4","",""
"Monomethylamine (MMA)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Monomethylaniline","V1164-75","4","4","2","2","1","1","X","4","4","4","4","2","4","4","4","4","X","X","",""
"Mononitrotoluene","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Mononitrotoluene & Dinitrotoluene (40/60 Mixture)","E0540-80","4","4","1","3","2","2","X","4","4","4","4","4","4","4","4","4","3","4","",""
"Monovinyl Acetylene","E0540-80","1","1","1","1","1","1","X","2","2","X","X","1","2","2","2","2","X","2","",""
"Mopar Brake Fluid","E0667-70","3","3","1","4","1","1","X","2","1","X","X","2","X","X","X","2","4","3","",""
"Morpholine","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Motor Oils","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Mustard Gas","E1267-80","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Myristic Acid","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Naphthalene","V1164-75","4","4","4","1","1","1","X","4","4","X","2","4","4","4","4","4","1","4","",""
"Naphthalene Chloride","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Naphthalene Sulfonic Acid","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Naphthalenic Acid","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Naphthalonic Acid","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Naphthenic Acid","V1164-75","2","2","4","1","1","1","X","4","4","X","X","4","4","4","4","4","1","4","",""
"Naphthylamine","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Naptha","V1164-75","2","2","4","1","1","1","X","4","4","2","2","4","4","4","4","4","2","4","",""
"Natural Gas","N0674-70","1","1","4","1","1","1","X","1","2","2","2","4","2","2","2","1","3","4","",""
"Neatsfoot Oil","N0674-70","1","1","2","1","1","1","X","4","4","1","1","2","4","4","4","4","1","2","",""
"Neon","B0612-70","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","1","",""
"Neville Acid","V1164-75","4","4","2","1","1","1","X","4","4","4","X","2","4","4","4","4","2","4","",""
"Nickel Acetate","E0540-80","2","2","1","4","1","1","X","2","4","4","4","1","4","1","1","4","4","4","",""
"Nickel Ammonium Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nickel Chloride","N0674-70","1","1","1","1","1","1","X","2","1","3","3","1","1","1","1","1","1","1","",""
"Nickel Cyanide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nickel Nitrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nickel Salts","N0674-70","1","1","1","1","1","1","X","2","1","3","3","1","1","1","1","1","1","1","",""
"Nickel Sulfate","N0674-70","1","1","1","1","1","1","X","1","2","4","3","1","2","2","2","1","1","1","",""
"Nicotinamide (Niacinamide)","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Nicotinamide Hydrochloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nicotine","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Nicotine Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Niter Cake","N0674-70","1","1","1","1","1","1","X","1","1","4","1","1","1","1","1","1","1","1","",""
"Nitric Acid (0 - 50%)","V1164-75","4","X","2","1","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Nitric Acid (50 - 100%)","V3819-75","4","X","4","3","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Nitric Acid 3 Molar to 158°F","E0540-80","4","4","2","3","2","2","X","4","3","4","4","2","X","X","X","2","4","4","",""
"Nitric Acid Concentrated Room Temp.","V0834-70","X","X","4","2","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Nitric Acid Concentrated to 158°F","V3819-75","4","4","4","4","3","2","X","4","4","4","4","4","X","X","4","X","4","4","",""
"Nitric Acid, Red Fuming","V3819-75","4","4","4","2","1","1","3","4","X","X","X","X","X","X","X","X","X","X","",""
"Nitric Acid, White Fuming","V3819-75","X","X","X","X","2","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Nitric Oxide","E0540-80","3","X","3","3","X","X","X","3","X","X","4","4","X","X","X","X","X","4","",""
"Nitroaniline","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitrobenzene","E0540-80","4","4","1","2","1","1","X","4","4","4","4","1","4","4","4","4","4","4","",""
"Nitrobenzoic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitrocellulose","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitrochlorobenzene","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitrochloroform","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitrodiethylaniline","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitrodiphenyl Ether","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Nitroethane","E0540-80","4","4","2","4","1","1","X","2","2","4","4","2","2","2","2","2","4","4","",""
"Nitrofluorobenzene","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitrogen","B0612-70","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","1","",""
"Nitrogen Dioxide","E0540-80","3","3","1","4","1","1","X","1","X","4","3","2","X","X","X","X","1","2","",""
"Nitrogen Oxides","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitrogen Tetroxide (N2O4)","Factory","4","3","4","4","2","2","X","4","4","4","4","3","4","4","4","4","4","4","",""
"Nitrogen Trifluoride","V3819-75","X","X","X","X","2","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Nitroglycerine","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitrogylcerol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitroisopropylbenzene","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitromethane","E0540-80","4","4","2","4","1","1","X","3","3","4","4","2","2","2","2","2","4","4","",""
"Nitrophenol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitropropane","E0540-80","4","4","2","4","1","1","X","4","4","4","4","2","4","4","4","4","4","4","",""
"Nitrosyl Chloride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Nitrosylsulfuric Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Nitrothiophene","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitrotoluene","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitrous Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Nitrous Oxide","E0540-80","1","1","1","1","1","1","X","X","X","X","X","X","X","X","X","X","X","1","",""
"Nonane","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Nonylphenoxy Polyethoxy Ethanol","—","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Noryl GE Phenolic","N0674-70","1","1","1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Nyvac FR200 Mobil","N0674-70","1","1","1","1","1","1","X","2","4","X","X","4","4","X","4","3","X","X","",""
"Octachloro Toluene","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Octadecane","N0674-70","1","1","4","1","1","1","X","2","4","2","1","4","4","4","4","2","1","4","",""
"Octanal (n-Octanaldehyde)","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Octane or n-Octane","V1164-75","1","1","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Octyl Acetate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Octyl Alcohol","V1164-75","2","2","3","1","1","1","X","2","2","4","4","2","2","2","2","2","2","2","",""
"Octyl Chloride","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Octyl Phthalate","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Olefins","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Oleic Acid","V0834-70","3","3","4","2","1","1","X","4","4","4","2","4","4","4","4","4","X","4","",""
"Oleum (Fuming Sulfuric Acid)","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","X","4","",""
"Oleum Spirits","V1164-75","2","2","4","1","1","1","X","3","4","X","3","4","4","4","4","2","2","4","",""
"Oleyl Alcohol","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Olive Oil","N0674-70","1","1","2","1","1","1","X","2","4","1","1","2","4","4","4","2","1","3","",""
"Oronite 8200","V1164-75","2","2","4","1","1","1","X","1","4","X","1","4","4","4","4","4","1","4","",""
"Oronite 8515","V1164-75","2","2","4","1","1","1","X","1","4","X","1","4","4","4","4","4","1","4","",""
"Ortho-Chloro Ethyl Benzene","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Ortho-Chloroaniline","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ortho-Chlorophenol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ortho-Cresol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ortho-Dichlorobenzene","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Ortho-Nitrotoluene","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Orthophos Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"OS 45 Type III (OS45)","V1164-75","2","2","4","1","1","1","X","1","4","X","4","4","4","4","4","2","2","4","",""
"OS 45 Type IV (OS45-1)","V1164-75","2","2","4","1","1","1","X","1","4","X","4","4","4","4","4","2","2","4","",""
"OS 70","V1164-75","2","2","4","1","1","1","X","1","4","X","4","4","4","4","4","2","2","4","",""
"Oxalic Acid","E0540-80","2","2","1","1","1","1","X","2","2","X","X","1","2","2","2","2","1","2","",""
"Oxygen, 200°-300°F (Evalute for specific applications)","V1164-75","4","4","4","2","1","1","1","3","4","1","X","1","X","X","4","X","1","1","",""
"Oxygen, 300°-400°F","S0604-70","4","4","4","2","1","1","X","4","4","4","4","4","4","4","4","4","4","1","",""
"Oxygen, Cold","C0873-70","2","2","1","1","1","1","X","1","2","2","1","1","2","2","2","1","1","1","",""
"Oxygen, Liquid","V3819-75","4","4","4","4","3","2","4","4","X","X","X","X","X","X","X","X","X","X","",""
"Ozonated Deionized Water","E0540-80","3","3","1","3","2","2","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ozone","E0540-80","4","2","1","1","1","1","X","2","4","2","1","2","4","4","4","1","1","1","",""
